value_date,narration,debit,credit,balance
16/07/2026,TRF FROM RAZORPAY REF PAYXDPUS DT 16/07,,13.50,"50,16,520.02"
16/07/2026,BY TRANSFER-NEFT*rfnd_06c3pv*RAZORPAY SOFTWARE,22.76,,"50,16,497.26"
16/07/2026,IMPS/RjAGVL/RZPY/CR,,31.70,"50,16,528.96"
16/07/2026,RTGS/V2OfFu/RAZORPAY/COLLECTION,,56.70,"50,16,585.66"
16/07/2026,BY TRANSFER-NEFT*x3zg7b*RAZORPAY SOFTWARE,,56.56,"50,16,642.22"
16/07/2026,NEFT-RAZORPAY-YUhZx9-SETTLEMENT,,32.15,"50,16,674.37"
17/07/2026,NEFT/RAZORPAY/0psnnR/SETTLEMENT,,225.30,"50,16,899.67"
17/07/2026,NEFT-RAZORPAY-1ZKYCE-SETTLEMENT,,76.01,"50,16,975.68"
17/07/2026,NEFT/RAZORPAY/6EwxxK/SETTLEMENT,,103.26,"50,17,078.94"
17/07/2026,TRF FROM RAZORPAY REF 7nRpDc DT 17/07,,57.21,"50,17,136.15"
17/07/2026,  MPS/9Fw5O8/RAZORPAY SOFTWARE PVT LTD  ,,9.70,"50,17,145.85"
17/07/2026,UPI/atUP8F/PAYMENT/REF,,46.84,"50,17,192.69"
17/07/2026,RTGS/bDf61O/RAZORPAY/COLLECTION,,131.55,"50,17,324.24"
17/07/2026,NEFT/RAZORPAY/coVhVU/SETTLEMENT,,109.11,"50,17,433.35"
17/07/2026,NEFT/RAZORPAY/HnI7KZ/SETTLEMENT,,68.79,"50,17,502.14"
17/07/2026,  MPS/jduEBN/RAZORPAY SOFTWARE PVT LTD  ,,17.13,"50,17,519.27"
17/07/2026,RTGS/JJheO0/RAZORPAY/COLLECTION,,7.89,"50,17,527.16"
17/07/2026,RTGS/JlUgBR/RAZORPAY/COLLECTION,,21.74,"50,17,548.90"
17/07/2026,IMPS/jv6nGi/RZPY/CR,,44.61,"50,17,593.51"
17/07/2026,IMPS/l1T1Zr/RZPY/CR,,15.78,"50,17,609.29"
17/07/2026,IMPS/mOHgbH/RZPY/CR,,30.95,"50,17,640.24"
17/07/2026,TRF FROM RAZORPAY REF MZBLTX DT 17/07,,9.08,"50,17,649.32"
17/07/2026,RTGS/PAYPYSSG/RAZORPAY/COLLECTION,,19.79,"50,17,669.11"
17/07/2026,  MPS/pCZg2L/RAZORPAY SOFTWARE PVT LTD  ,,18.47,"50,17,687.58"
17/07/2026,NEFT/RAZORPAY/pgGyKJ/SETTLEMENT,,14.32,"50,17,701.90"
17/07/2026,IMPS/pJW2kC/RZPY/CR,,20.26,"50,17,722.16"
17/07/2026,RTGS/uNypjX/RAZORPAY/COLLECTION,,22.14,"50,17,744.30"
17/07/2026,RTGS/V97MGq/RAZORPAY/COLLECTION,,87.73,"50,17,832.03"
17/07/2026,IMPS/vItkRH/RZPY/CR,,17.83,"50,17,849.86"
17/07/2026,NEFT/RAZORPAY/wli3Mo/SETTLEMENT,,71.79,"50,17,921.65"
17/07/2026,NEFT/RAZORPAY/WlJ35z/SETTLEMENT,,"3,400.30","50,21,321.95"
17/07/2026,  MPS/wsK8VS/RAZORPAY SOFTWARE PVT LTD  ,,69.86,"50,21,391.81"
17/07/2026,  MPS/zpU4uL/RAZORPAY SOFTWARE PVT LTD  ,,15.88,"50,21,407.69"
17/07/2026,RTGS/zXof1u/RAZORPAY/COLLECTION,,43.84,"50,21,451.53"
18/07/2026,UPI/1q4s5m/PAYMENT/REF,,54.07,"50,21,505.60"
18/07/2026,UPI/7YohXZ/PAYMENT/REF,,176.04,"50,21,681.64"
18/07/2026,IMPS/9hTHIU/RZPY/CR,,85.54,"50,21,767.18"
18/07/2026,UPI/9Mv3hm/PAYMENT/REF,,57.20,"50,21,824.38"
18/07/2026,IMPS/BCX57w/RZPY/CR,,279.76,"50,22,104.14"
18/07/2026,IMPS/cfmQAP/RZPY/CR,,7.07,"50,22,111.21"
18/07/2026,RTGS/dA05ht/RAZORPAY/COLLECTION,,125.23,"50,22,236.44"
18/07/2026,BY TRANSFER-NEFT*EV4OMW*RAZORPAY SOFTWARE,,9.25,"50,22,245.69"
18/07/2026,  MPS/g6NoZ5/RAZORPAY SOFTWARE PVT LTD  ,,96.26,"50,22,341.95"
18/07/2026,IMPS/OSbg55/RZPY/CR,,28.60,"50,22,370.55"
18/07/2026,NEFT-RAZORPAY-tqLUS6-SETTLEMENT,,46.37,"50,22,416.92"
18/07/2026,BY TRANSFER-NEFT*U9pIIn*RAZORPAY SOFTWARE,,16.09,"50,22,433.01"
18/07/2026,IMPS/VSPIJY/RZPY/CR,,64.46,"50,22,497.47"
18/07/2026,NEFT-RAZORPAY-VvH5om-SETTLEMENT,,27.76,"50,22,525.23"
18/07/2026,  MPS/YlEmXX/RAZORPAY SOFTWARE PVT LTD  ,,8.36,"50,22,533.59"
18/07/2026,NEFT-RAZORPAY-zEXZLD-SETTLEMENT,,50.28,"50,22,583.87"
19/07/2026,IMPS/6sA85A/RZPY/CR,,10.53,"50,22,594.40"
19/07/2026,IMPS/9oZU4H/RZPY/CR,,170.69,"50,22,765.09"
19/07/2026,IMPS/9t3GT2/RZPY/CR,,27.91,"50,22,793.00"
19/07/2026,IMPS/BC62z4/RZPY/CR,,189.99,"50,22,982.99"
19/07/2026,TRF FROM RAZORPAY REF bZbjGe DT 19/07,,12.76,"50,22,995.75"
19/07/2026,  MPS/d992lb/RAZORPAY SOFTWARE PVT LTD  ,,93.49,"50,23,089.24"
19/07/2026,NEFT-RAZORPAY-dJwvPG-SETTLEMENT,,23.79,"50,23,113.03"
19/07/2026,NEFT/RAZORPAY/FAnaPA/SETTLEMENT,,11.69,"50,23,124.72"
19/07/2026,NEFT/RAZORPAY/fxXotA/SETTLEMENT,,58.02,"50,23,182.74"
19/07/2026,UPI/hwVQun/PAYMENT/REF,,38.95,"50,23,221.69"
19/07/2026,UPI/i60VuU/PAYMENT/REF,,41.30,"50,23,262.99"
19/07/2026,  MPS/jlcdZN/RAZORPAY SOFTWARE PVT LTD  ,,34.69,"50,23,297.68"
19/07/2026,TRF FROM RAZORPAY REF JmkyBj DT 19/07,,13.18,"50,23,310.86"
19/07/2026,NEFT/RAZORPAY/lXo7oK/SETTLEMENT,,226.91,"50,23,537.77"
19/07/2026,  MPS/M7czyj/RAZORPAY SOFTWARE PVT LTD  ,,8.71,"50,23,546.48"
19/07/2026,RTGS/nWrVyp/RAZORPAY/COLLECTION,,62.09,"50,23,608.57"
19/07/2026,NEFT/RAZORPAY/OJVb83/SETTLEMENT,,151.54,"50,23,760.11"
19/07/2026,RTGS/PAY0LKLC/RAZORPAY/COLLECTION,,35.06,"50,23,795.17"
19/07/2026,NEFT-RAZORPAY-PAY5MFSX-SETTLEMENT,,121.84,"50,23,917.01"
19/07/2026,NEFT-RAZORPAY-phEP0R-SETTLEMENT,,64.41,"50,23,981.42"
19/07/2026,NEFT/RAZORPAY/rfnd_G561Ge/SETTLEMENT,18.10,,"50,23,963.32"
19/07/2026,UPI/tElDcn/PAYMENT/REF,,105.26,"50,24,068.58"
19/07/2026,NEFT-RAZORPAY-uqQNDv-SETTLEMENT,,12.31,"50,24,080.89"
19/07/2026,  MPS/vT7Cux/RAZORPAY SOFTWARE PVT LTD  ,,249.43,"50,24,330.32"
19/07/2026,  MPS/Y1uOeo/RAZORPAY SOFTWARE PVT LTD  ,,53.27,"50,24,383.59"
19/07/2026,TRF FROM RAZORPAY REF zRINsE DT 19/07,,3.29,"50,24,386.88"
20/07/2026,BY TRANSFER-NEFT*0obrfL*RAZORPAY SOFTWARE,,34.69,"50,24,421.57"
20/07/2026,UPI/458num/PAYMENT/REF,,17.37,"50,24,438.94"
20/07/2026,TRF FROM RAZORPAY REF 4lavpo DT 20/07,,193.60,"50,24,632.54"
20/07/2026,NEFT-RAZORPAY-9YcQ0I-SETTLEMENT,,94.16,"50,24,726.70"
20/07/2026,BY TRANSFER-NEFT*BDGfEh*RAZORPAY SOFTWARE,,5.81,"50,24,732.51"
20/07/2026,NEFT-RAZORPAY-DJVDX8-SETTLEMENT,,17.04,"50,24,749.55"
20/07/2026,RTGS/e3BNNH/RAZORPAY/COLLECTION,,7.55,"50,24,757.10"
20/07/2026,IMPS/fhZupR/RZPY/CR,,13.37,"50,24,770.47"
20/07/2026,RTGS/InOBIl/RAZORPAY/COLLECTION,,154.49,"50,24,924.96"
20/07/2026,NEFT-RAZORPAY-kfjlj3-SETTLEMENT,,110.55,"50,25,035.51"
20/07/2026,UPI/NW8B0B/PAYMENT/REF,,143.64,"50,25,179.15"
20/07/2026,TRF FROM RAZORPAY REF oIoW5H DT 20/07,,6.83,"50,25,185.98"
20/07/2026,IMPS/OlTOmR/RZPY/CR,,45.16,"50,25,231.14"
20/07/2026,RTGS/pehMHa/RAZORPAY/COLLECTION,,24.01,"50,25,255.15"
20/07/2026,NEFT/RAZORPAY/PlSbnR/SETTLEMENT,,34.09,"50,25,289.24"
20/07/2026,NEFT/RAZORPAY/QogwtG/SETTLEMENT,,15.47,"50,25,304.71"
20/07/2026,NEFT/RAZORPAY/rfnd_6iS4Te/SETTLEMENT,3.68,,"50,25,301.03"
20/07/2026,NEFT/RAZORPAY/rfnd_9oZU4H/SETTLEMENT,127.05,,"50,25,173.98"
20/07/2026,BY TRANSFER-NEFT*vHLpSl*RAZORPAY SOFTWARE,,35.21,"50,25,209.19"
21/07/2026,NEFT/RAZORPAY/6JEv5I/SETTLEMENT,,7.36,"50,25,216.55"
21/07/2026,BY TRANSFER-NEFT*8cUAgm*RAZORPAY SOFTWARE,,35.15,"50,25,251.70"
21/07/2026,RTGS/Dq2LkB/RAZORPAY/COLLECTION,,78.82,"50,25,330.52"
21/07/2026,TRF FROM RAZORPAY REF fNm3NK DT 21/07,,19.85,"50,25,350.37"
21/07/2026,BY TRANSFER-NEFT*fyBbYG*RAZORPAY SOFTWARE,,19.75,"50,25,370.12"
21/07/2026,BY TRANSFER-NEFT*h7dU0N*RAZORPAY SOFTWARE,,59.52,"50,25,429.64"
21/07/2026,TRF FROM RAZORPAY REF h7dU0N DT 21/07,,59.52,"50,25,489.16"
21/07/2026,TRF FROM RAZORPAY REF jhB8u3 DT 21/07,,10.65,"50,25,499.81"
21/07/2026,RTGS/jRD26m/RAZORPAY/COLLECTION,,33.45,"50,25,533.26"
21/07/2026,RTGS/MWHM98/RAZORPAY/COLLECTION,,604.18,"50,26,137.44"
21/07/2026,RTGS/ObBMjI/RAZORPAY/COLLECTION,,37.09,"50,26,174.53"
21/07/2026,  MPS/P9K64k/RAZORPAY SOFTWARE PVT LTD  ,,88.87,"50,26,263.40"
21/07/2026,BY TRANSFER-NEFT*PAYIFN6S*RAZORPAY SOFTWARE,,33.65,"50,26,297.05"
21/07/2026,UPI/PAYPQDRS/PAYMENT/REF,,15.61,"50,26,312.66"
21/07/2026,TRF FROM RAZORPAY REF PAYTLVIX DT 21/07,,181.00,"50,26,493.66"
21/07/2026,IMPS/phIit8/RZPY/CR,,13.70,"50,26,507.36"
21/07/2026,BY TRANSFER-NEFT*pVCQJj*RAZORPAY SOFTWARE,,29.18,"50,26,536.54"
21/07/2026,TRF FROM RAZORPAY REF rtwWg2 DT 21/07,,62.42,"50,26,598.96"
21/07/2026,RTGS/ZAkKOW/RAZORPAY/COLLECTION,,39.31,"50,26,638.27"
22/07/2026,BY TRANSFER-NEFT*1lE64E*RAZORPAY SOFTWARE,,"1,220.53","50,27,858.80"
22/07/2026,UPI/2cUInz/PAYMENT/REF,,6.76,"50,27,865.56"
22/07/2026,RTGS/4Nsq61/RAZORPAY/COLLECTION,,683.50,"50,28,549.06"
22/07/2026,NEFT-RAZORPAY-5B2IRK-SETTLEMENT,,65.17,"50,28,614.23"
22/07/2026,BY TRANSFER-NEFT*6B3GoA*RAZORPAY SOFTWARE,,70.76,"50,28,684.99"
22/07/2026,TRF FROM RAZORPAY REF BVdWcw DT 22/07,,8.43,"50,28,693.42"
22/07/2026,NEFT-RAZORPAY-CPs3zN-SETTLEMENT,,22.02,"50,28,715.44"
22/07/2026,BY TRANSFER-NEFT*i4EPP9*RAZORPAY SOFTWARE,,21.61,"50,28,737.05"
22/07/2026,IMPS/jDIDca/RZPY/CR,,76.17,"50,28,813.22"
22/07/2026,NEFT/RAZORPAY/KkZ86R/SETTLEMENT,,52.40,"50,28,865.62"
22/07/2026,IMPS/kYgzgw/RZPY/CR,,153.76,"50,29,019.38"
22/07/2026,  MPS/liuxfi/RAZORPAY SOFTWARE PVT LTD  ,,60.47,"50,29,079.85"
22/07/2026,NEFT-RAZORPAY-MEXyJL-SETTLEMENT,,68.27,"50,29,148.12"
22/07/2026,UPI/o77ooi/PAYMENT/REF,,169.77,"50,29,317.89"
22/07/2026,RTGS/oDpD54/RAZORPAY/COLLECTION,,536.56,"50,29,854.45"
22/07/2026,NEFT/RAZORPAY/PAYJARFA/SETTLEMENT,,105.43,"50,29,959.88"
22/07/2026,  MPS/rfnd_p03J4x/RAZORPAY SOFTWARE PVT LTD  ,2.50,,"50,29,957.38"
22/07/2026,BY TRANSFER-NEFT*Rjf94W*RAZORPAY SOFTWARE,,36.47,"50,29,993.85"
22/07/2026,BY TRANSFER-NEFT*RWqveL*RAZORPAY SOFTWARE,,12.90,"50,30,006.75"
22/07/2026,IMPS/tanQHr/RZPY/CR,,23.80,"50,30,030.55"
